series_id,date,value
AAA10Y,09-11-18,0.99
AAA10Y,09-12-18,0.97
AAA10Y,09-13-18,0.95
AAA10Y,09-14-18,0.95
AAA10Y,09-17-18,0.95
AAA10Y,09-18-18,0.97
AAA10Y,09-19-18,0.96
AAA10Y,09-20-18,0.92
AAA10Y,09-21-18,0.92
AAA10Y,09-24-18,0.92
AAA10Y,09-25-18,0.92
AAA10Y,09-26-18,0.93
AAA10Y,09-27-18,0.92
AAA10Y,09-28-18,0.94
AAA10Y,10-01-18,0.93
AAA10Y,10-02-18,0.93
AAA10Y,10-03-18,0.91
AAA10Y,10-04-18,0.92
AAA10Y,10-05-18,0.94
AAA10Y,10-08-18,NULL
AAA10Y,10-09-18,0.93
AAA10Y,10-10-18,0.94
AAA10Y,10-11-18,0.95
AAA10Y,10-12-18,0.97
AAA10Y,10-15-18,0.98
AAA10Y,10-16-18,0.93
AAA10Y,10-17-18,0.94
AAA10Y,10-18-18,0.99
AAA10Y,10-19-18,0.98
AAA10Y,10-22-18,0.99
AAA10Y,10-23-18,1.02
AAA10Y,10-24-18,1.06
AAA10Y,10-25-18,1.06
AAA10Y,10-26-18,1.1
AAA10Y,10-29-18,1.1
AAA10Y,10-30-18,1.11
AAA10Y,10-31-18,1.12
AAA10Y,11-01-18,1.14
AAA10Y,11-02-18,1.05
AAA10Y,11-05-18,1.05
AAA10Y,11-06-18,1.02
AAA10Y,11-07-18,1.01
AAA10Y,11-08-18,0.96
AAA10Y,11-09-18,0.97
AAA10Y,11-12-18,NULL
AAA10Y,11-13-18,1.07
AAA10Y,11-14-18,1.09
AAA10Y,11-15-18,1.14
AAA10Y,11-16-18,1.13
AAA10Y,11-19-18,1.15
AAA10Y,11-20-18,1.16
AAA10Y,11-21-18,1.13
AAA10Y,11-22-18,NULL
AAA10Y,11-23-18,1.13
AAA10Y,11-26-18,1.11
AAA10Y,11-27-18,1.12
AAA10Y,11-28-18,1.17
AAA10Y,11-29-18,1.18
AAA10Y,11-30-18,1.21
AAA10Y,12-03-18,1.19
AAA10Y,12-04-18,1.18
AAA10Y,12-05-18,NULL
AAA10Y,12-06-18,1.21
AAA10Y,12-07-18,1.21
AAA10Y,12-10-18,1.23
AAA10Y,12-11-18,1.14
AAA10Y,12-12-18,1.1
AAA10Y,12-13-18,1.1
AAA10Y,12-14-18,1.13
AAA10Y,12-17-18,1.13
AAA10Y,12-18-18,1.13
AAA10Y,12-19-18,1.12
AAA10Y,12-20-18,1.16
AAA10Y,12-21-18,1.18
AAA10Y,12-24-18,1.22
AAA10Y,12-25-18,NULL
AAA10Y,12-26-18,1.2
AAA10Y,12-27-18,1.24
AAA10Y,12-28-18,1.3
AAA10Y,12-31-18,1.3
AAA10Y,01-01-19,NULL
AAA10Y,01-02-19,1.29
AAA10Y,01-03-19,1.35
AAA10Y,01-04-19,1.31
AAA10Y,01-07-19,1.26
AAA10Y,01-08-19,1.24
AAA10Y,01-09-19,1.22
AAA10Y,01-10-19,1.24
AAA10Y,01-11-19,1.25
AAA10Y,01-14-19,1.29
AAA10Y,01-15-19,1.27
AAA10Y,01-16-19,1.27
AAA10Y,01-17-19,1.25
AAA10Y,01-18-19,1.17
AAA10Y,01-21-19,NULL
AAA10Y,01-22-19,1.18
AAA10Y,01-23-19,1.13
AAA10Y,01-24-19,1.14
AAA10Y,01-25-19,1.1
AAA10Y,01-28-19,1.12
AAA10Y,01-29-19,1.13
AAA10Y,01-30-19,1.15
AAA10Y,01-31-19,1.16
AAA10Y,02-01-19,1.11
AAA10Y,02-04-19,1.1
AAA10Y,02-05-19,1.08
AAA10Y,02-06-19,1.08
AAA10Y,02-07-19,1.1
AAA10Y,02-08-19,1.14
AAA10Y,02-11-19,1.11
AAA10Y,02-12-19,1.12
AAA10Y,02-13-19,1.07
AAA10Y,02-14-19,1.11
AAA10Y,02-15-19,1.1
AAA10Y,02-18-19,NULL
AAA10Y,02-19-19,1.09
AAA10Y,02-20-19,1.11
AAA10Y,02-21-19,1.12
AAA10Y,02-22-19,1.16
AAA10Y,02-25-19,1.13
AAA10Y,02-26-19,1.14
AAA10Y,02-27-19,1.16
AAA10Y,02-28-19,1.13
AAA10Y,03-01-19,1.14
AAA10Y,03-04-19,1.15
AAA10Y,03-05-19,1.15
AAA10Y,03-06-19,1.17
AAA10Y,03-07-19,1.18
AAA10Y,03-08-19,1.2
AAA10Y,03-11-19,1.21
AAA10Y,03-12-19,1.19
AAA10Y,03-13-19,1.19
AAA10Y,03-14-19,1.21
AAA10Y,03-15-19,1.23
AAA10Y,03-18-19,1.22
AAA10Y,03-19-19,1.21
AAA10Y,03-20-19,1.24
AAA10Y,03-21-19,1.21
AAA10Y,03-22-19,1.23
AAA10Y,03-25-19,1.24
AAA10Y,03-26-19,1.23
AAA10Y,03-27-19,1.23
AAA10Y,03-28-19,1.22
AAA10Y,03-29-19,1.21
AAA10Y,04-01-19,1.19
AAA10Y,04-02-19,1.18
AAA10Y,04-03-19,1.17
AAA10Y,04-04-19,1.19
AAA10Y,04-05-19,1.17
AAA10Y,04-08-19,1.17
AAA10Y,04-09-19,1.16
AAA10Y,04-10-19,1.17
AAA10Y,04-11-19,1.17
AAA10Y,04-12-19,1.15
AAA10Y,04-15-19,1.13
AAA10Y,04-16-19,1.13
AAA10Y,04-17-19,1.13
AAA10Y,04-18-19,1.12
AAA10Y,04-19-19,NULL
AAA10Y,04-22-19,1.16
AAA10Y,04-23-19,1.16
AAA10Y,04-24-19,1.16
AAA10Y,04-25-19,1.15
AAA10Y,04-26-19,1.18
AAA10Y,04-29-19,1.17
AAA10Y,04-30-19,1.2
AAA10Y,05-01-19,1.16
AAA10Y,05-02-19,1.21
AAA10Y,05-03-19,1.19
AAA10Y,05-06-19,1.21
AAA10Y,05-07-19,1.25
AAA10Y,05-08-19,1.21
AAA10Y,05-09-19,1.28
AAA10Y,05-10-19,1.25
AAA10Y,05-13-19,1.31
AAA10Y,05-14-19,1.29
AAA10Y,05-15-19,1.32
AAA10Y,05-16-19,1.28
AAA10Y,05-17-19,1.29
AAA10Y,05-20-19,1.29
AAA10Y,05-21-19,1.27
AAA10Y,05-22-19,1.29
AAA10Y,05-23-19,1.33
AAA10Y,05-24-19,1.32
AAA10Y,05-27-19,NULL
AAA10Y,05-28-19,1.35
AAA10Y,05-29-19,1.34
AAA10Y,05-30-19,1.33
AAA10Y,05-31-19,1.37
AAA10Y,06-03-19,1.43
AAA10Y,06-04-19,1.4
AAA10Y,06-05-19,1.42
AAA10Y,06-06-19,1.41
AAA10Y,06-07-19,1.39
AAA10Y,06-10-19,1.34
AAA10Y,06-11-19,1.34
AAA10Y,06-12-19,1.38
AAA10Y,06-13-19,1.38
AAA10Y,06-14-19,1.4
AAA10Y,06-17-19,1.36
AAA10Y,06-18-19,1.34
AAA10Y,06-19-19,1.36
AAA10Y,06-20-19,1.32
AAA10Y,06-21-19,1.29
AAA10Y,06-24-19,1.28
AAA10Y,06-25-19,1.32
AAA10Y,06-26-19,1.27
AAA10Y,06-27-19,1.26
AAA10Y,06-28-19,1.25
AAA10Y,07-01-19,1.24
AAA10Y,07-02-19,1.25
AAA10Y,07-03-19,1.22
AAA10Y,07-04-19,NULL
AAA10Y,07-05-19,1.22
AAA10Y,07-08-19,1.19
AAA10Y,07-09-19,1.19
AAA10Y,07-10-19,1.23
AAA10Y,07-11-19,1.24
AAA10Y,07-12-19,1.22
AAA10Y,07-15-19,1.26
AAA10Y,07-16-19,1.24
AAA10Y,07-17-19,1.24
AAA10Y,07-18-19,1.27
AAA10Y,07-19-19,1.26
AAA10Y,07-22-19,1.25
AAA10Y,07-23-19,1.23
AAA10Y,07-24-19,1.24
AAA10Y,07-25-19,1.23
AAA10Y,07-26-19,1.23
AAA10Y,07-29-19,1.23
AAA10Y,07-30-19,1.23
AAA10Y,07-31-19,1.24
AAA10Y,08-01-19,1.29
AAA10Y,08-02-19,1.31
AAA10Y,08-05-19,1.4
AAA10Y,08-06-19,1.42
AAA10Y,08-07-19,1.38
AAA10Y,08-08-19,1.37
AAA10Y,08-09-19,1.35
AAA10Y,08-12-19,1.36
AAA10Y,08-13-19,1.33
AAA10Y,08-14-19,1.36
AAA10Y,08-15-19,1.38
AAA10Y,08-16-19,1.36
AAA10Y,08-19-19,1.35
AAA10Y,08-20-19,1.34
AAA10Y,08-21-19,1.3
AAA10Y,08-22-19,1.31
AAA10Y,08-23-19,1.36
AAA10Y,08-26-19,1.36
AAA10Y,08-27-19,1.34
AAA10Y,08-28-19,1.34
AAA10Y,08-29-19,1.36
AAA10Y,08-30-19,1.35
AAA10Y,09-02-19,NULL
AAA10Y,09-03-19,1.39
AAA10Y,09-04-19,1.39
AAA10Y,09-05-19,1.37
AAA10Y,09-06-19,1.36
AAA10Y,09-09-19,1.36
AAA10Y,09-10-19,1.35
AAA10Y,09-11-19,1.34
AAA10Y,09-12-19,1.35
AAA10Y,09-13-19,1.35
AAA10Y,09-16-19,1.34
AAA10Y,09-17-19,1.33
AAA10Y,09-18-19,1.3
AAA10Y,09-19-19,1.28
AAA10Y,09-20-19,1.29
AAA10Y,09-23-19,1.3
AAA10Y,09-24-19,1.3
AAA10Y,09-25-19,1.32
AAA10Y,09-26-19,1.29
AAA10Y,09-27-19,1.31
AAA10Y,09-30-19,1.33
AAA10Y,10-01-19,1.32
AAA10Y,10-02-19,1.39
AAA10Y,10-03-19,1.4
AAA10Y,10-04-19,1.36
AAA10Y,10-07-19,1.36
AAA10Y,10-08-19,1.41
AAA10Y,10-09-19,1.36
AAA10Y,10-10-19,1.35
AAA10Y,10-11-19,1.3
AAA10Y,10-14-19,NULL
AAA10Y,10-15-19,1.29
AAA10Y,10-16-19,1.3
AAA10Y,10-17-19,1.28
AAA10Y,10-18-19,1.27
AAA10Y,10-21-19,1.24
AAA10Y,10-22-19,1.24
AAA10Y,10-23-19,1.24
AAA10Y,10-24-19,1.23
AAA10Y,10-25-19,1.24
AAA10Y,10-28-19,1.23
AAA10Y,10-29-19,1.23
AAA10Y,10-30-19,1.29
AAA10Y,10-31-19,1.3
AAA10Y,11-01-19,1.29
AAA10Y,11-04-19,1.28
AAA10Y,11-05-19,1.25
AAA10Y,11-06-19,1.25
AAA10Y,11-07-19,1.23
AAA10Y,11-08-19,1.23
AAA10Y,11-11-19,NULL
AAA10Y,11-12-19,1.22
AAA10Y,11-13-19,1.26
AAA10Y,11-14-19,1.26
AAA10Y,11-15-19,1.26
AAA10Y,11-18-19,1.27
AAA10Y,11-19-19,1.25
AAA10Y,11-20-19,1.3
AAA10Y,11-21-19,1.27
AAA10Y,11-22-19,1.26
AAA10Y,11-25-19,1.23
AAA10Y,11-26-19,1.21
AAA10Y,11-27-19,1.17
AAA10Y,11-28-19,NULL
AAA10Y,11-29-19,1.17
AAA10Y,12-02-19,1.2
AAA10Y,12-03-19,1.24
AAA10Y,12-04-19,1.25
AAA10Y,12-05-19,1.21
AAA10Y,12-06-19,1.19
AAA10Y,12-09-19,1.17
AAA10Y,12-10-19,1.15
AAA10Y,12-11-19,1.18
AAA10Y,12-12-19,1.15
AAA10Y,12-13-19,1.15
AAA10Y,12-16-19,1.13
AAA10Y,12-17-19,1.1
AAA10Y,12-18-19,1.11
AAA10Y,12-19-19,1.09
AAA10Y,12-20-19,1.09
AAA10Y,12-23-19,1.09
AAA10Y,12-24-19,1.09
AAA10Y,12-25-19,NULL
AAA10Y,12-26-19,1.1
AAA10Y,12-27-19,1.1
AAA10Y,12-30-19,1.12
AAA10Y,12-31-19,1.12
AAA10Y,01-01-20,NULL
AAA10Y,01-02-20,1.12
AAA10Y,01-03-20,1.14
AAA10Y,01-06-20,1.2
AAA10Y,01-07-20,1.19
AAA10Y,01-08-20,1.23
AAA10Y,01-09-20,1.19
AAA10Y,01-10-20,1.16
AAA10Y,01-13-20,1.15
AAA10Y,01-14-20,1.18
AAA10Y,01-15-20,1.18
AAA10Y,01-16-20,1.18
AAA10Y,01-17-20,1.17
AAA10Y,01-20-20,NULL
AAA10Y,01-21-20,1.17
AAA10Y,01-22-20,1.16
AAA10Y,01-23-20,1.14
AAA10Y,01-24-20,1.12
AAA10Y,01-27-20,1.18
AAA10Y,01-28-20,1.22
AAA10Y,01-29-20,1.21
AAA10Y,01-30-20,1.25
AAA10Y,01-31-20,1.31
AAA10Y,02-03-20,1.26
AAA10Y,02-04-20,1.25
AAA10Y,02-05-20,1.24
AAA10Y,02-06-20,1.21
AAA10Y,02-07-20,1.18
AAA10Y,02-10-20,1.21
AAA10Y,02-11-20,1.21
AAA10Y,02-12-20,1.22
AAA10Y,02-13-20,1.22
AAA10Y,02-14-20,1.2
AAA10Y,02-17-20,NULL
AAA10Y,02-18-20,1.21
AAA10Y,02-19-20,1.23
AAA10Y,02-20-20,1.25
AAA10Y,02-21-20,1.28
AAA10Y,02-24-20,1.34
AAA10Y,02-25-20,1.38
AAA10Y,02-26-20,1.36
AAA10Y,02-27-20,1.4
AAA10Y,02-28-20,1.57
AAA10Y,03-02-20,1.51
AAA10Y,03-03-20,1.58
AAA10Y,03-04-20,1.53
AAA10Y,03-05-20,1.6
AAA10Y,03-06-20,1.62
AAA10Y,03-09-20,1.92
AAA10Y,03-10-20,1.91
AAA10Y,03-11-20,1.85
AAA10Y,03-12-20,2.06
AAA10Y,03-13-20,2.09
AAA10Y,03-16-20,2.15
AAA10Y,03-17-20,2.38
AAA10Y,03-18-20,2.74
AAA10Y,03-19-20,2.74
AAA10Y,03-20-20,3.2
AAA10Y,03-23-20,2.81
AAA10Y,03-24-20,2.6
AAA10Y,03-25-20,2.46
AAA10Y,03-26-20,2.24
AAA10Y,03-27-20,2.23
AAA10Y,03-30-20,2.01
AAA10Y,03-31-20,2.03
AAA10Y,04-01-20,2.14
AAA10Y,04-02-20,2.01
AAA10Y,04-03-20,2.01
AAA10Y,04-06-20,1.96
AAA10Y,04-07-20,1.8
AAA10Y,04-08-20,1.79
AAA10Y,04-09-20,1.73
AAA10Y,04-10-20,NULL
AAA10Y,04-13-20,1.59
AAA10Y,04-14-20,1.47
AAA10Y,04-15-20,1.74
AAA10Y,04-16-20,1.7
AAA10Y,04-17-20,1.76
AAA10Y,04-20-20,1.73
AAA10Y,04-21-20,1.75
AAA10Y,04-22-20,1.73
AAA10Y,04-23-20,1.64
AAA10Y,04-24-20,1.7
AAA10Y,04-27-20,1.72
AAA10Y,04-28-20,1.73
AAA10Y,04-29-20,1.75
AAA10Y,04-30-20,1.74
AAA10Y,05-01-20,1.78
AAA10Y,05-04-20,1.75
AAA10Y,05-05-20,1.75
AAA10Y,05-06-20,1.89
AAA10Y,05-07-20,1.89
AAA10Y,05-08-20,1.85
AAA10Y,05-11-20,1.96
AAA10Y,05-12-20,1.97
AAA10Y,05-13-20,1.9
AAA10Y,05-14-20,1.88
AAA10Y,05-15-20,1.87
AAA10Y,05-18-20,1.83
AAA10Y,05-19-20,1.8
AAA10Y,05-20-20,1.8
AAA10Y,05-21-20,1.77
AAA10Y,05-22-20,1.75
AAA10Y,05-25-20,NULL
AAA10Y,05-26-20,1.8
AAA10Y,05-27-20,1.79
AAA10Y,05-28-20,1.76
AAA10Y,05-29-20,1.78
AAA10Y,06-01-20,1.79
AAA10Y,06-02-20,1.77
AAA10Y,06-03-20,1.76
AAA10Y,06-04-20,1.77
AAA10Y,06-05-20,1.63
AAA10Y,06-08-20,1.6
AAA10Y,06-09-20,1.63
AAA10Y,06-10-20,1.72
AAA10Y,06-11-20,1.74
AAA10Y,06-12-20,1.71
AAA10Y,06-15-20,1.8
AAA10Y,06-16-20,1.62
AAA10Y,06-17-20,1.69
AAA10Y,06-18-20,1.66
AAA10Y,06-19-20,1.73
AAA10Y,06-22-20,1.69
AAA10Y,06-23-20,1.71
AAA10Y,06-24-20,1.71
AAA10Y,06-25-20,1.72
AAA10Y,06-26-20,1.71
AAA10Y,06-29-20,1.74
AAA10Y,06-30-20,1.68
AAA10Y,07-01-20,1.71
AAA10Y,07-02-20,1.69
AAA10Y,07-03-20,NULL
AAA10Y,07-06-20,1.64
AAA10Y,07-07-20,1.62
AAA10Y,07-08-20,1.57
AAA10Y,07-09-20,1.54
AAA10Y,07-10-20,1.54
AAA10Y,07-13-20,1.54
AAA10Y,07-14-20,1.5
AAA10Y,07-15-20,1.51
AAA10Y,07-16-20,1.52
AAA10Y,07-17-20,1.49
AAA10Y,07-20-20,1.48
AAA10Y,07-21-20,1.47
AAA10Y,07-22-20,1.48
AAA10Y,07-23-20,1.46
AAA10Y,07-24-20,1.42
AAA10Y,07-27-20,1.41
AAA10Y,07-28-20,1.43
AAA10Y,07-29-20,1.48
AAA10Y,07-30-20,1.48
AAA10Y,07-31-20,1.48
AAA10Y,08-03-20,1.53
AAA10Y,08-04-20,1.56
AAA10Y,08-05-20,1.48
AAA10Y,08-06-20,1.49
AAA10Y,08-07-20,1.46
AAA10Y,08-10-20,1.47
AAA10Y,08-11-20,1.51
AAA10Y,08-12-20,1.48
AAA10Y,08-13-20,1.58
AAA10Y,08-14-20,1.59
AAA10Y,08-17-20,1.63
AAA10Y,08-18-20,1.63
AAA10Y,08-19-20,1.65
AAA10Y,08-20-20,1.68
AAA10Y,08-21-20,1.66
AAA10Y,08-24-20,1.66
AAA10Y,08-25-20,1.67
AAA10Y,08-26-20,1.71
AAA10Y,08-27-20,1.72
AAA10Y,08-28-20,1.66
AAA10Y,08-31-20,1.7
AAA10Y,09-01-20,1.66
AAA10Y,09-02-20,1.6
AAA10Y,09-03-20,1.59
AAA10Y,09-04-20,1.62
AAA10Y,09-07-20,NULL
AAA10Y,09-08-20,1.6
AAA10Y,09-09-20,1.68
AAA10Y,09-10-20,1.66
AAA10Y,09-11-20,1.65
AAA10Y,09-14-20,1.64
AAA10Y,09-15-20,1.65
AAA10Y,09-16-20,1.62
AAA10Y,09-17-20,1.61
AAA10Y,09-18-20,1.6
AAA10Y,09-21-20,1.6
AAA10Y,09-22-20,1.59
AAA10Y,09-23-20,1.63
AAA10Y,09-24-20,1.66
AAA10Y,09-25-20,1.65
AAA10Y,09-28-20,1.69
AAA10Y,09-29-20,1.68
AAA10Y,09-30-20,1.63
AAA10Y,10-01-20,1.65
AAA10Y,10-02-20,1.67
AAA10Y,10-05-20,1.67
AAA10Y,10-06-20,1.63
AAA10Y,10-07-20,1.57
AAA10Y,10-08-20,1.55
AAA10Y,10-09-20,1.55
AAA10Y,10-12-20,NULL
AAA10Y,10-13-20,1.55
AAA10Y,10-14-20,1.54
AAA10Y,10-15-20,1.54
AAA10Y,10-16-20,1.53
AAA10Y,10-19-20,1.51
AAA10Y,10-20-20,1.55
AAA10Y,10-21-20,1.57
AAA10Y,10-22-20,1.56
AAA10Y,10-23-20,1.56
AAA10Y,10-26-20,1.55
AAA10Y,10-27-20,1.56
AAA10Y,10-28-20,1.54
AAA10Y,10-29-20,1.55
AAA10Y,10-30-20,1.51
AAA10Y,11-02-20,1.5
AAA10Y,11-03-20,1.51
AAA10Y,11-04-20,1.51
AAA10Y,11-05-20,1.45
AAA10Y,11-06-20,1.48
AAA10Y,11-09-20,1.43
AAA10Y,11-10-20,1.44
AAA10Y,11-11-20,NULL
AAA10Y,11-12-20,1.48
AAA10Y,11-13-20,1.46
AAA10Y,11-16-20,1.44
AAA10Y,11-17-20,1.44
AAA10Y,11-18-20,1.38
AAA10Y,11-19-20,1.42
AAA10Y,11-20-20,1.41
AAA10Y,11-23-20,1.38
AAA10Y,11-24-20,1.38
AAA10Y,11-25-20,1.38
AAA10Y,11-26-20,NULL
AAA10Y,11-27-20,1.36
AAA10Y,11-30-20,1.36
AAA10Y,12-01-20,1.31
AAA10Y,12-02-20,1.3
AAA10Y,12-03-20,1.29
AAA10Y,12-04-20,1.29
AAA10Y,12-07-20,1.32
AAA10Y,12-08-20,1.33
AAA10Y,12-09-20,1.34
AAA10Y,12-10-20,1.37
AAA10Y,12-11-20,1.37
AAA10Y,12-14-20,1.35
AAA10Y,12-15-20,1.39
AAA10Y,12-16-20,1.35
AAA10Y,12-17-20,1.34
AAA10Y,12-18-20,1.37
AAA10Y,12-21-20,1.33
AAA10Y,12-22-20,1.3
AAA10Y,12-23-20,1.32
AAA10Y,12-24-20,1.32
AAA10Y,12-25-20,NULL
AAA10Y,12-28-20,1.31
AAA10Y,12-29-20,1.31
AAA10Y,12-30-20,1.29
AAA10Y,12-31-20,1.3
AAA10Y,01-01-21,NULL
AAA10Y,01-04-21,1.35
AAA10Y,01-05-21,1.32
AAA10Y,01-06-21,1.32
AAA10Y,01-07-21,1.38
AAA10Y,01-08-21,1.35
AAA10Y,01-11-21,1.33
AAA10Y,01-12-21,1.35
AAA10Y,01-13-21,1.33
AAA10Y,01-14-21,1.39
AAA10Y,01-15-21,1.35
AAA10Y,01-18-21,NULL
AAA10Y,01-19-21,1.34
AAA10Y,01-20-21,1.35
AAA10Y,01-21-21,1.41
AAA10Y,01-22-21,1.41
AAA10Y,01-25-21,1.44
AAA10Y,01-26-21,1.42
AAA10Y,01-27-21,1.38
AAA10Y,01-28-21,1.41
AAA10Y,01-29-21,1.4
AAA10Y,02-01-21,1.44
AAA10Y,02-02-21,1.46
AAA10Y,02-03-21,1.49
AAA10Y,02-04-21,1.46
AAA10Y,02-05-21,1.44
AAA10Y,02-08-21,1.42
AAA10Y,02-09-21,1.42
AAA10Y,02-10-21,1.43
ASEANTOT,02-01-18,98.3
ASEANTOT,03-01-18,98.3
ASEANTOT,04-01-18,98.7
ASEANTOT,05-01-18,99.1
ASEANTOT,06-01-18,98.9
ASEANTOT,07-01-18,98.8
ASEANTOT,08-01-18,98.8
ASEANTOT,09-01-18,98.7
ASEANTOT,10-01-18,98.3
ASEANTOT,11-01-18,97.9
ASEANTOT,12-01-18,97.5
